connector,player_id,game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,qtr,down,yrdln,ydstogo,desc,injured_first_name,injured_last_name,injured_team,injured_player_num,Contact/ non-contact,injury area,player role,season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,years_exp,game_type,football_name,smart_id,entry_year,day,date,time,winner.tie,loser.tie,pts_w,pts_l,yds_w,tov_w,yds_l,tov_l,loser_is_home,Home_Team,Away_Team,Home_abbr,Away_abbr,num_injuries,num_plays,surface,surface_type,stadium,dome,Avg_Temp,Avg_Feels_Like,Avg_Wind_MPH,Avg_Humidity_Percent,Avg_Percipitation_Prob_Percent,Home_latitude,Home_longitude,Away_latitude,Away_longitude,distance_miles,HOME_day_since_last_game,AWAY_day_since_last_game
2019_08_CIN_LAR_Redmond,2019_CIN_62_Redmond,2019_08_CIN_LAR,LAR,CIN,REG,8,CIN,away,LA,LA,6,43765,320,320,320,Half2,4,3,LA 6,6,(5:20) (Shotgun) 14-A.Dalton pass incomplete short middle to 85-T.Eifert. CIN-62-A.Redmond was injured during the play. His return is Doubtful.,A,Redmond,CIN,62,contact,knee,pass blocker,2019,CIN,OL,G,62,NA,Alex Redmond,Alex,Redmond,1/18/95,77,320,UCLA,3,REG,Alex,32005245-4460-8160-bd19-8b3b0c5fa7ed,2016,Sun,10/27/19,13:00:00,Los Angeles Rams,Cincinnati Bengals,24,10,470,0,401,0,FALSE,Los Angeles Rams,Cincinnati Bengals,LAR,CIN,2,186,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,46.5,44.75,3.75,75.25,0,33.8642,-118.261,39.0964,-84.5164,1898.039327,7,7
2019_08_LV_HOU_Hudson,2019_LV_61_Hudson,2019_08_OAK_HOU,HOU,LV,REG,8,LV,away,HOU,LV,80,43765,361,1261,3061,Half1,1,1,LV 20,10,(6:01) 33-D.Washington left tackle to OAK 24 for 4 yards (92-B.Dunn). OAK-61-R.Hudson was injured during the play. His return is Probable.,R,Hudson,LV,61,contact,lower body,run blocker,2019,LV,OL,C,61,Active,Rodney Hudson,Rodney,Hudson,7/12/89,74,315,Florida State,8,REG,Rodney,32004855-4473-6504-5b3c-8616ce1867b3,2011,Sun,10/27/19,16:25:00,Houston Texans,Oakland Raiders,27,24,388,0,378,0,FALSE,Houston Texans,Oakland Raiders,HOU,LV,5,182,Hellas Matrix Turf,Turf,NRG Stadium,TRUE,74.5,74.5,5.5,49.5,0,29.6849,-95.4106,37.7567,-122.1931,1630.244785,7,7
2019_08_LV_HOU_Johnson,2019_HOU_32_Johnson,2019_08_OAK_HOU,HOU,LV,REG,8,LV,away,HOU,LV,82,43765,320,320,2120,Half1,2,3,LV 18,20,(5:20) (Shotgun) 4-D.Carr pass short middle to 11-T.Davis to OAK 33 for 15 yards (32-L.Johnson). HOU-32-L.Johnson was injured during the play. His return is Probable.,L,Johnson,HOU,32,contact,upper body,tackler,2019,HOU,DB,DB,32,Active,Lonnie Johnson,Lonnie,Johnson,11/4/95,74,213,Kentucky,0,DIV,Lonnie,32004a4f-4800-0020-6142-473a18150e9b,2019,Sun,10/27/19,16:25:00,Houston Texans,Oakland Raiders,27,24,388,0,378,0,FALSE,Houston Texans,Oakland Raiders,HOU,LV,5,182,Hellas Matrix Turf,Turf,NRG Stadium,TRUE,74.5,74.5,5.5,49.5,0,29.6849,-95.4106,37.7567,-122.1931,1630.244785,7,7
2019_08_LV_HOU_Mauro,2019_LV_97_Mauro,2019_08_OAK_HOU,HOU,LV,REG,8,HOU,home,LV,HOU,70,43765,507,1407,3207,Half1,1,1,HOU 30,10,(8:27) 23-C.Hyde left end to HOU 33 for 3 yards (59-T.Whitehead; 97-J.Mauro). OAK-97-J.Mauro was injured during the play. His return is Probable.,J,Mauro,LV,97,contact,unknown,tackler,2019,LV,DL,DE,97,Active,Josh Mauro,Josh,Mauro,2/17/91,78,290,Stanford,5,REG,Josh,32004d41-5564-0520-dec8-88f7b32eea0a,2014,Sun,10/27/19,16:25:00,Houston Texans,Oakland Raiders,27,24,388,0,378,0,FALSE,Houston Texans,Oakland Raiders,HOU,LV,5,182,Hellas Matrix Turf,Turf,NRG Stadium,TRUE,74.5,74.5,5.5,49.5,0,29.6849,-95.4106,37.7567,-122.1931,1630.244785,7,7
2019_08_LV_HOU_Tunsil,2019_HOU_78_Tunsil,2019_08_OAK_HOU,HOU,LV,REG,8,HOU,home,LV,LV,49,43765,605,605,605,Half2,4,1,LV 49,10,(10:05) (Shotgun) 23-C.Hyde up the middle to OAK 44 for 5 yards (50-N.Morrow). HOU-78-L.Tunsil was injured during the play. His return is Probable.,L,Tunsil,HOU,78,unknown,not shown,run defender,2019,HOU,OL,T,78,Active,Laremy Tunsil,Laremy,Tunsil,8/2/94,77,313,Mississippi,3,DIV,Laremy,32005455-4e56-5442-704e-acb84ae7be26,2016,Sun,10/27/19,16:25:00,Houston Texans,Oakland Raiders,27,24,388,0,378,0,FALSE,Houston Texans,Oakland Raiders,HOU,LV,5,182,Hellas Matrix Turf,Turf,NRG Stadium,TRUE,74.5,74.5,5.5,49.5,0,29.6849,-95.4106,37.7567,-122.1931,1630.244785,7,7
2019_08_LV_HOU_Watson,2019_HOU_4_Watson,2019_08_OAK_HOU,HOU,LV,REG,8,HOU,home,LV,LV,9,43765,394,394,394,Half2,4,1,LV 9,9,"(6:34) (Shotgun) 4-D.Watson pass short right to 87-D.Fells for 9 yards, TOUCHDOWN [98-M.Crosby]. HOU-4-D.Watson was injured during the play. His return is Probable.",D,Watson,HOU,4,contact,face,pass rusher,2019,HOU,QB,QB,4,Active,Deshaun Watson,Derrick,Watson,9/14/95,74,221,Clemson,2,DIV,Deshaun,32005741-5433-8355-e029-e49022cf4b81,2017,Sun,10/27/19,16:25:00,Houston Texans,Oakland Raiders,27,24,388,0,378,0,FALSE,Houston Texans,Oakland Raiders,HOU,LV,5,182,Hellas Matrix Turf,Turf,NRG Stadium,TRUE,74.5,74.5,5.5,49.5,0,29.6849,-95.4106,37.7567,-122.1931,1630.244785,7,7
2019_09_DET_LV_Amendola,2019_DET_80_Amendola,2019_09_DET_OAK,LV,DET,REG,9,DET,away,LV,DET,65,43772,611,611,611,Half2,4,1,DET 35,10,(10:11) 9-M.Stafford pass incomplete deep right to 80-D.Amendola. DET-80-D.Amendola was injured during the play.,D,Amendola,DET,80,non contact,upper body,pass catcher,2019,DET,WR,WR,80,Active,Danny Amendola,Daniel,Amendola,11/2/85,71,185,Texas Tech,11,REG,Danny,3200414d-4535-9918-e336-c0dd118d7e30,2008,Sun,11/3/19,16:05:00,Oakland Raiders,Detroit Lions,31,24,450,0,473,2,FALSE,Oakland Raiders,Detroit Lions,LV,DET,4,185,Bermuda Grass,Grass,Oakland Coliseum,FALSE,72,72,3.5,29,0,37.7567,-122.1931,42.34,-83.0455,2076.145411,7,7
2019_09_DET_LV_Brown,2019_LV_77_Brown,2019_09_DET_OAK,LV,DET,REG,9,LV,home,DET,LV,57,43772,652,1552,3352,Half1,1,1,LV 43,10,(10:52) 28-J.Jacobs right tackle pushed ob at DET 40 for 17 yards (27-J.Coleman). OAK-77-T.Brown was injured during the play. He is Out.,T,Brown,LV,77,contact,lower body,run blocker,2019,LV,OL,T,77,NA,Trent Brown,Trent,Brown,4/13/93,80,380,Florida,4,REG,Trent,32004252-4f73-9325-7786-18cc8995e060,2015,Sun,11/3/19,16:05:00,Oakland Raiders,Detroit Lions,31,24,450,0,473,2,FALSE,Oakland Raiders,Detroit Lions,LV,DET,4,185,Bermuda Grass,Grass,Oakland Coliseum,FALSE,72,72,3.5,29,0,37.7567,-122.1931,42.34,-83.0455,2076.145411,7,7
2019_09_DET_LV_Hand,2019_DET_93_Hand,2019_09_DET_OAK,LV,DET,REG,9,LV,home,DET,DET,27,43772,659,1559,1559,Half2,3,3,DET 27,2,(10:59) (Shotgun) 4-D.Carr pass incomplete deep right to 16-T.Williams (29-R.Melvin). DET-93-D.Hand was injured during the play.,D,Hand,DET,93,contact,unknown,pass rusher,2019,DET,DL,DL,93,NA,Da'Shawn Hand,Da'Shawn,Hand,11/14/95,75,297,Alabama,1,REG,Da'Shawn,32004841-4e08-3056-e4d2-1b26ded29329,2018,Sun,11/3/19,16:05:00,Oakland Raiders,Detroit Lions,31,24,450,0,473,2,FALSE,Oakland Raiders,Detroit Lions,LV,DET,4,185,Bermuda Grass,Grass,Oakland Coliseum,FALSE,72,72,3.5,29,0,37.7567,-122.1931,42.34,-83.0455,2076.145411,7,7
2019_09_DET_LV_Hockenson,2019_DET_88_Hockenson,2019_09_DET_OAK,LV,DET,REG,9,DET,away,LV,DET,58,43772,82,82,82,Half2,4,2,DET 42,10,(1:22) (Shotgun) 9-M.Stafford pass incomplete deep middle to 88-T.Hockenson (25-E.Harris). DET-88-T.Hockenson was injured during the play.,T,Hockenson,DET,88,contact,head,pass catcher,2019,DET,TE,TE,88,NA,T.J. Hockenson,T.J.,Hockenson,7/3/97,77,247,Iowa,0,REG,T.J.,3200484f-4342-2041-c442-6c874885b155,2019,Sun,11/3/19,16:05:00,Oakland Raiders,Detroit Lions,31,24,450,0,473,2,FALSE,Oakland Raiders,Detroit Lions,LV,DET,4,185,Bermuda Grass,Grass,Oakland Coliseum,FALSE,72,72,3.5,29,0,37.7567,-122.1931,42.34,-83.0455,2076.145411,7,7
2019_10_LAC_LV_Ingram,2019_LAC_54_Ingram,2019_10_LAC_OAK,LV,LAC,REG,10,LV,home,LAC,LAC,18,43776,32,32,1832,Half1,2,2,LAC 18,10,(:32) (Shotgun) 4-D.Carr pass short right to 33-D.Washington to LAC 9 for 9 yards (49-D.Tranquill). LAC-54-M.Ingram was injured during the play. His return is Questionable.,M,Ingram,LAC,54,contact,head/ neck,AFP,2019,LAC,DL,DE,54,Active,Melvin Ingram,Melvin,Ingram,4/26/89,74,247,South Carolina,7,REG,Melvin,3200494e-4766-7979-5ad7-72203eae4114,2012,Thu,11/7/19,20:20:00,Oakland Raiders,Los Angeles Chargers,26,24,278,0,315,3,FALSE,Oakland Raiders,Los Angeles Chargers,LV,LAC,3,175,Bermuda Grass,Grass,Oakland Coliseum,FALSE,54.75,54.75,5,74.5,0,37.7567,-122.1931,33.8642,-118.261,347.6122738,4,4
2019_10_LAC_LV_Joyner,2019_LV_29_Joyner,2019_10_LAC_OAK,LV,LAC,REG,10,LAC,away,LV,LAC,70,43776,37,37,37,Half2,4,2,LAC 30,10,"(:37) (Shotgun) 17-P.Rivers pass incomplete deep right to 86-H.Henry. OAK-29-L.Joyner was injured during the play. Penalty on LAC, Illegal Shift, declined.",L,Joyner,LV,29,non contact,lower body,AFP,2019,LV,DB,FS,29,Active,Lamarcus Joyner,Lamarcus,Joyner,11/27/90,68,185,Florida State,5,REG,Lamarcus,32004a4f-5946-4866-7495-d5ac553be826,2014,Thu,11/7/19,20:20:00,Oakland Raiders,Los Angeles Chargers,26,24,278,0,315,3,FALSE,Oakland Raiders,Los Angeles Chargers,LV,LAC,3,175,Bermuda Grass,Grass,Oakland Coliseum,FALSE,54.75,54.75,5,74.5,0,37.7567,-122.1931,33.8642,-118.261,347.6122738,4,4
2019_10_LAC_LV_Tranquill,2019_LAC_49_Tranquill,2019_10_LAC_OAK,LV,LAC,REG,10,LV,home,LAC,50,50,43776,132,132,1932,Half1,2,3,MID 50,11,(2:12) (Shotgun) 4-D.Carr pass short left to 12-Z.Jones to LAC 40 for 10 yards (49-D.Tranquill). LAC-49-D.Tranquill was injured during the play. His return is Questionable.,D,Tranquill,LAC,49,contact,lower body,tackler,2019,LAC,LB,LB,49,Active,Drue Tranquill,Drue,Tranquill,8/15/95,74,234,Notre Dame,0,REG,Drue,32005452-4128-9059-cb73-4eadedc51904,2019,Thu,11/7/19,20:20:00,Oakland Raiders,Los Angeles Chargers,26,24,278,0,315,3,FALSE,Oakland Raiders,Los Angeles Chargers,LV,LAC,3,175,Bermuda Grass,Grass,Oakland Coliseum,FALSE,54.75,54.75,5,74.5,0,37.7567,-122.1931,33.8642,-118.261,347.6122738,4,4
2019_10_LAR_PIT_Allen,2019_LAR_55_Allen,2019_10_LAR_PIT,PIT,LAR,REG,10,LA,away,PIT,LA,75,43779,900,900,2700,Half1,2,3,LA 25,8,(15:00) (Shotgun) 16-J.Goff sacked at LA 15 for -10 yards (97-C.Heyward). LA-55-Br.Allen was injured during the play.,Br,Allen,LAR,55,contact,knee,pass blocker,2019,LAR,OL,C,55,NA,Brian Allen,Brian,Allen,10/11/95,74,303,Michigan State,1,REG,Brian,3200414c-4c06-3898-4514-a9de44ff58fe,2018,Sun,11/10/19,16:25:00,Pittsburgh Steelers,Los Angeles Rams,17,12,273,2,306,4,FALSE,Pittsburgh Steelers,Los Angeles Rams,PIT,LAR,1,202,Kentucky Bluegrass,Grass,Heinz Field,FALSE,54.5,54.5,4.75,49.5,0,40.4467,-80.0158,33.8642,-118.261,2137.31331,7,14
2019_11_CIN_LV_Dunlap,2019_CIN_96_Dunlap,2019_11_CIN_OAK,LV,CIN,REG,11,LV,home,CIN,CIN,4,43786,665,665,665,Half2,4,4,CIN 4,1,(11:05) 45-A.Ingold up the middle to CIN 1 for 3 yards (97-G.Atkins; 36-S.Williams). CIN-96-C.Dunlap was injured during the play. His return is Questionable.,C,Dunlap,CIN,96,contact,upper body,run defender,2019,CIN,DL,DE,96,Active,Carlos Dunlap,Carlos,Dunlap,2/28/89,78,285,Florida,9,REG,Carlos,32004455-4e47-4478-d651-c5c2e90fab0d,2010,Sun,11/17/19,16:25:00,Oakland Raiders,Cincinnati Bengals,17,10,386,2,246,2,FALSE,Oakland Raiders,Cincinnati Bengals,LV,CIN,3,175,Bermuda Grass,Grass,Oakland Coliseum,FALSE,70.25,70.25,5,43.25,0,37.7567,-122.1931,39.0964,-84.5164,2026.926011,10,7
2019_11_CIN_LV_Jackson,2019_CIN_22_Jackson,2019_11_CIN_OAK,LV,CIN,REG,11,LV,home,CIN,CIN,34,43786,775,775,775,Half2,4,1,CIN 34,10,(12:55) 28-J.Jacobs left tackle pushed ob at CIN 13 for 21 yards (22-W.Jackson III; 96-C.Dunlap). CIN-22-W.Jackson III was injured during the play. His return is Questionable.,W,Jackson,CIN,22,contact,upper body,tackler,2019,CIN,DB,CB,22,Active,William Jackson,William,Jackson,10/27/92,72,196,Houston,3,REG,William,32004a41-4364-5516-1a9f-87dcd74055ee,2016,Sun,11/17/19,16:25:00,Oakland Raiders,Cincinnati Bengals,17,10,386,2,246,2,FALSE,Oakland Raiders,Cincinnati Bengals,LV,CIN,3,175,Bermuda Grass,Grass,Oakland Coliseum,FALSE,70.25,70.25,5,43.25,0,37.7567,-122.1931,39.0964,-84.5164,2026.926011,10,7
2019_11_CIN_LV_Tate,2019_CIN_19_Tate,2019_11_CIN_OAK,LV,CIN,REG,11,CIN,away,LV,CIN,53,43786,411,411,411,Half2,4,3,CIN 47,19,(6:51) (Shotgun) 5-R.Finley pass deep middle to 19-A.Tate to OAK 33 for 20 yards (35-C.Riley). CIN-19-A.Tate was injured during the play. His return is Doubtful.,A,Tate,CIN,19,contact,head/neck,pass catcher,2019,CIN,WR,WR,19,NA,Auden Tate,Auden,Tate,2/3/97,77,228,Florida State,1,REG,Auden,32005441-5413-0154-6d9d-5c163b90a894,2018,Sun,11/17/19,16:25:00,Oakland Raiders,Cincinnati Bengals,17,10,386,2,246,2,FALSE,Oakland Raiders,Cincinnati Bengals,LV,CIN,3,175,Bermuda Grass,Grass,Oakland Coliseum,FALSE,70.25,70.25,5,43.25,0,37.7567,-122.1931,39.0964,-84.5164,2026.926011,10,7
2019_12_BAL_LAR_Judon,2019_BAL_99_Judon,2019_12_BAL_LAR,LAR,BAL,REG,12,LA,home,BAL,LA,75,43794,900,1800,3600,Half1,1,1,LA 25,10,(15:00) 30-T.Gurley right tackle to LA 26 for 1 yard (45-J.Ferguson). BAL-99-M.Judon was injured during the play. His return is Probable.,M,Judon,BAL,99,contact,lower body,run defender,2019,BAL,LB,OLB,99,Active,Matt Judon,Matt,Judon,8/15/92,75,261,Grand Valley State,3,DIV,Matt,32004a55-4444-2977-278b-6fd440b8c2e8,2016,Mon,11/25/19,20:15:00,Baltimore Ravens,Los Angeles Rams,45,6,480,0,221,2,TRUE,Los Angeles Rams,Baltimore Ravens,LAR,BAL,3,172,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,62.25,62.25,3.25,62.25,0,33.8642,-118.261,39.3972,-76.8352,2308.184491,8,8
2019_12_BAL_LAR_Skura,2019_BAL_68_Skura,2019_12_BAL_LAR,LAR,BAL,REG,12,BAL,away,LA,LA,23,43794,126,1026,2826,Half1,1,4,LA 23,1,(2:06) (Shotgun) 74-J.Hurst reported in as eligible. 8-L.Jackson left tackle to LA 18 for 5 yards (69-S.Joseph). BAL-68-M.Skura was injured during the play. He is Out. BAL #68 M.Skura Knee Injury.,M,Skura,BAL,68,contact,lower body,run blocker,2019,BAL,OL,C,68,NA,Matt Skura,Matt,Skura,2/17/93,75,313,Duke,3,DIV,Matt,3200534b-5566-8077-6c20-88e4509c34b3,2016,Mon,11/25/19,20:15:00,Baltimore Ravens,Los Angeles Rams,45,6,480,0,221,2,TRUE,Los Angeles Rams,Baltimore Ravens,LAR,BAL,3,172,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,62.25,62.25,3.25,62.25,0,33.8642,-118.261,39.3972,-76.8352,2308.184491,8,8
2019_12_LV_NYJ_Beachum,2019_NYJ_68_Beachum,2019_12_OAK_NYJ,NYJ,LV,REG,12,NYJ,home,LV,NYJ,94,43793,139,1039,2839,Half1,1,2,NYJ 6,8,(2:19) 14-S.Darnold pass short left to 26-L.Bell to NYJ 23 for 17 yards (50-N.Morrow). NYJ-68-K.Beachum was injured during the play.,K,Beachum,NYJ,68,contact,knee,pass blocker,2019,NYJ,OL,T,68,Active,Kelvin Beachum,Kelvin,Beachum,6/8/89,75,308,Southern Methodist,7,REG,Kelvin,32004245-4111-1513-5626-cd2b32ceb041,2012,Sun,11/24/19,13:00:00,New York Jets,Oakland Raiders,34,3,401,1,208,2,FALSE,New York Jets,Oakland Raiders,NYJ,LV,4,161,FieldTurf Classic HD,Turf,MetLife Stadium,FALSE,42.25,37.5,7.5,88.25,99.75,40.8137,-74.0829,37.7567,-122.1931,2549.345661,7,7
2019_12_LV_NYJ_Edoga,2019_NYJ_75_Edoga,2019_12_OAK_NYJ,NYJ,LV,REG,12,NYJ,home,LV,NYJ,61,43793,900,900,2700,Half1,2,2,NYJ 39,9,(15:00) (Shotgun) 14-S.Darnold pass short left to 84-R.Griffin to OAK 49 for 12 yards (25-E.Harris). NYJ-75-C.Edoga was injured during the play.,C,Edoga,NYJ,75,contact,knee,pass blocker,2019,NYJ,OL,T,75,NA,Chuma Edoga,Chuma,Edoga,5/25/97,75,308,Southern California,0,REG,Chuma,32004544-4f33-7482-f251-ab502d650176,2019,Sun,11/24/19,13:00:00,New York Jets,Oakland Raiders,34,3,401,1,208,2,FALSE,New York Jets,Oakland Raiders,NYJ,LV,4,161,FieldTurf Classic HD,Turf,MetLife Stadium,FALSE,42.25,37.5,7.5,88.25,99.75,40.8137,-74.0829,37.7567,-122.1931,2549.345661,7,7
2019_12_LV_NYJ_Hankins,2019_LV_90_Hankins,2019_12_OAK_NYJ,NYJ,LV,REG,12,NYJ,home,LV,NYJ,78,43793,852,852,852,Half2,4,1,NYJ 22,10,(14:12) (Shotgun) 14-S.Darnold pass incomplete short left to 18-D.Thomas (20-D.Worley). OAK-90-J.Hankins was injured during the play.,J,Hankins,LV,90,contact,knee,pass rusher,2019,LV,DL,DT,90,Active,Johnathan Hankins,Johnathan,Hankins,3/30/92,75,340,Ohio State,6,REG,Johnathan,32004841-4e16-9902-788f-c9022e21f3ed,2013,Sun,11/24/19,13:00:00,New York Jets,Oakland Raiders,34,3,401,1,208,2,FALSE,New York Jets,Oakland Raiders,NYJ,LV,4,161,FieldTurf Classic HD,Turf,MetLife Stadium,FALSE,42.25,37.5,7.5,88.25,99.75,40.8137,-74.0829,37.7567,-122.1931,2549.345661,7,7
2019_12_LV_NYJ_Renfrow,2019_LV_13_Renfrow,2019_12_OAK_NYJ,NYJ,LV,REG,12,LV,away,NYJ,NYJ,25,43793,440,440,2240,Half1,2,3,NYJ 25,2,(7:20) (Shotgun) 4-D.Carr pass incomplete short left to 13-H.Renfrow (31-B.Austin). OAK-13-H.Renfrow was injured during the play.,H,Renfrow,LV,13,contact,head,pass catcher,2019,LV,WR,WR,13,Active,Hunter Renfrow,Hunter,Renfrow,12/21/95,70,185,Clemson,0,REG,Hunter,32005245-4e35-8499-ff02-b25484b87290,2019,Sun,11/24/19,13:00:00,New York Jets,Oakland Raiders,34,3,401,1,208,2,FALSE,New York Jets,Oakland Raiders,NYJ,LV,4,161,FieldTurf Classic HD,Turf,MetLife Stadium,FALSE,42.25,37.5,7.5,88.25,99.75,40.8137,-74.0829,37.7567,-122.1931,2549.345661,7,7
2019_13_LAR_ARI_Gunter,2019_ARI_95_Gunter,2019_13_LAR_ARI,ARI,LAR,REG,13,LA,away,ARI,LA,71,43800,287,287,2087,Half1,2,1,LA 29,10,(4:47) 16-J.Goff pass deep middle to 83-J.Reynolds to LA 49 for 20 yards (34-J.Thompson) [95-R.Gunter]. ARI-95-R.Gunter was injured during the play.,R,Gunter,ARI,95,contact,lower body,pass rusher,2019,ARI,DL,DT,95,NA,Rodney Gunter,Rodney,Gunter,1/19/92,77,305,Delaware State,4,REG,Rodney,32004755-4e73-0129-1af5-f25308a2b733,2015,Sun,12/1/19,16:05:00,Los Angeles Rams,Arizona Cardinals,34,7,549,0,198,1,TRUE,Arizona Cardinals,Los Angeles Rams,ARI,LAR,2,199,Bermuda Grass,Grass,State Farm Stadium,TRUE,64.25,64.25,2.25,20.75,0,33.5276,-112.2626,33.8642,-118.261,345.5745035,14,6
2019_13_LAR_ARI_Thompson,2019_ARI_34_Thompson,2019_13_LAR_ARI,ARI,LAR,REG,13,LA,away,ARI,LA,91,43800,653,1553,1553,Half2,3,3,LA 9,9,(10:53) (Shotgun) 16-J.Goff pass short left to 17-R.Woods pushed ob at ARI 43 for 48 yards (34-J.Thompson). ARI-34-J.Thompson was injured during the play.,J,Thompson,ARI,34,contact,unknown,tackler,2019,ARI,DB,DB,34,Active,Jalen Thompson,Jalen,Thompson,7/18/98,71,190,Washington State,0,REG,Jalen,32005448-4f58-0436-7201-bda0fa091308,2019,Sun,12/1/19,16:05:00,Los Angeles Rams,Arizona Cardinals,34,7,549,0,198,1,TRUE,Arizona Cardinals,Los Angeles Rams,ARI,LAR,2,199,Bermuda Grass,Grass,State Farm Stadium,TRUE,64.25,64.25,2.25,20.75,0,33.5276,-112.2626,33.8642,-118.261,345.5745035,14,6
2019_13_LV_KC_Harris,2019_LV_25_Harris,2019_13_OAK_KC,KC,LV,REG,13,KC,home,LV,KC,55,43800,733,733,733,Half2,4,2,KC 45,4,(12:13) (Shotgun) 34-D.Thompson right tackle to KC 48 for 3 yards (90-J.Hankins). OAK-25-E.Harris was injured during the play.,E,Harris,LV,25,contact,knee,tackler,2019,LV,DB,SS,25,Active,Erik Harris,Erik,Harris,4/2/90,74,220,"California, Pa.",3,REG,Erik,32004841-5238-5656-d69d-b258f71e2a37,2016,Sun,12/1/19,16:25:00,Kansas City Chiefs,Oakland Raiders,40,9,259,0,332,3,FALSE,Kansas City Chiefs,Oakland Raiders,KC,LV,3,159,Bermuda Grass,Grass,Arrowhead Stadium,FALSE,34,25,12.5,60.75,0,39.0482,-94.4831,37.7567,-122.1931,1497.333876,13,7
2019_13_LV_KC_Joyner,2019_LV_29_Joyner,2019_13_OAK_KC,KC,LV,REG,13,KC,home,LV,LV,39,43800,510,510,2310,Half1,2,1,LV 39,10,(8:30) 15-P.Mahomes pass short middle to 87-T.Kelce to OAK 28 for 11 yards (29-L.Joyner). OAK-29-L.Joyner was injured during the play.,L,Joyner,LV,29,contact,upper body,pass defender,2019,LV,DB,FS,29,Active,Lamarcus Joyner,Lamarcus,Joyner,11/27/90,68,185,Florida State,5,REG,Lamarcus,32004a4f-5946-4866-7495-d5ac553be826,2014,Sun,12/1/19,16:25:00,Kansas City Chiefs,Oakland Raiders,40,9,259,0,332,3,FALSE,Kansas City Chiefs,Oakland Raiders,KC,LV,3,159,Bermuda Grass,Grass,Arrowhead Stadium,FALSE,34,25,12.5,60.75,0,39.0482,-94.4831,37.7567,-122.1931,1497.333876,13,7
2019_13_LV_KC_Williams,2019_KC_31_Williams,2019_13_OAK_KC,KC,LV,REG,13,KC,home,LV,LV,17,43800,500,1400,1400,Half2,3,1,LV 17,10,(8:20) 31-D.Williams left end to OAK 21 for -4 yards (90-J.Hankins). KC-31-D.Williams was injured during the play. His return is Questionable.,D,Williams,KC,31,non contact,lower body,ball carrier,2019,KC,RB,RB,31,NA,Darrel Williams,Darrel,Williams,4/15/95,71,224,Louisiana State,1,SB,Darrel,32005749-4c20-7361-9bac-e63ffb6793a8,2018,Sun,12/1/19,16:25:00,Kansas City Chiefs,Oakland Raiders,40,9,259,0,332,3,FALSE,Kansas City Chiefs,Oakland Raiders,KC,LV,3,159,Bermuda Grass,Grass,Arrowhead Stadium,FALSE,34,25,12.5,60.75,0,39.0482,-94.4831,37.7567,-122.1931,1497.333876,13,7
2019_14_SEA_LAR_Barton,2019_SEA_57_Barton,2019_14_SEA_LAR,LAR,SEA,REG,14,LA,home,SEA,LA,56,43807,792,792,792,Half2,4,2,LA 44,3,(13:12) 16-J.Goff pass short left to 17-R.Woods to SEA 36 for 20 yards (50-K.Wright; 57-C.Barton). SEA-57-C.Barton was injured during the play.,C,Barton,SEA,57,contact,lower body,tackler,2019,SEA,LB,LB,57,Active,Cody Barton,Cody,Barton,11/13/96,74,237,Utah,0,DIV,Cody,32004241-5276-3281-9024-f13315a94333,2019,Sun,12/8/19,20:20:00,Los Angeles Rams,Seattle Seahawks,28,12,455,2,308,1,FALSE,Los Angeles Rams,Seattle Seahawks,LAR,SEA,4,180,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,61.75,61.75,4.75,73.5,0,33.8642,-118.261,47.5932,-122.3318,971.927993,7,6
2019_14_SEA_LAR_Woods,2019_SEA_72_Woods,2019_14_SEA_LAR,LAR,SEA,REG,14,LA,home,SEA,LA,95,43807,887,887,887,Half2,4,1,LA 5,10,"(14:47) 34-M.Brown left guard to LA 5 for no gain (54-B.Wagner, 26-Sl.Griffin). SEA-72-A.Woods was injured during the play.",A,Woods,SEA,72,contact,shoulder,tackler,2019,SEA,DL,DT,72,NA,Al Woods,Al,Woods,3/25/87,76,330,Louisiana State,9,DIV,Al,3200574f-4f40-1988-3618-55072355959c,2010,Sun,12/8/19,20:20:00,Los Angeles Rams,Seattle Seahawks,28,12,455,2,308,1,FALSE,Los Angeles Rams,Seattle Seahawks,LAR,SEA,4,180,Hellas Matrix Turf,Turf,SoFi Stadium,TRUE,61.75,61.75,4.75,73.5,0,33.8642,-118.261,47.5932,-122.3318,971.927993,7,6
